timestamp,src_ip,method,url,headers,body
2024-01-15 10:30:15,192.168.1.100,GET,/api/users,"{""User-Agent"":""Mozilla/5.0"",""Accept"":""application/json""}",
2024-01-15 10:30:16,192.168.1.101,POST,/api/login,"{""Content-Type"":""application/json"",""User-Agent"":""Mozilla/5.0""}","{""username"":""admin"",""password"":""password123""}"
2024-01-15 10:30:17,192.168.1.102,GET,/admin/dashboard,"{""User-Agent"":""Mozilla/5.0"",""Authorization"":""Bearer token123""}",
2024-01-15 10:30:18,192.168.1.103,POST,/api/search,"{""Content-Type"":""application/json"",""User-Agent"":""Mozilla/5.0""}","{""query"":""<script>alert('xss')</script>""}"
2024-01-15 10:30:19,192.168.1.104,GET,/api/products?id=1,"{""User-Agent"":""Mozilla/5.0"",""Accept"":""application/json""}",
2024-01-15 10:30:20,192.168.1.105,POST,/api/upload,"{""Content-Type"":""multipart/form-data"",""User-Agent"":""Mozilla/5.0""}","{""file"":""malicious.exe""}"
2024-01-15 10:30:21,192.168.1.106,GET,/api/users?id=1' OR '1'='1,"{""User-Agent"":""Mozilla/5.0"",""Accept"":""application/json""}",
2024-01-15 10:30:22,192.168.1.107,POST,/api/comment,"{""Content-Type"":""application/json"",""User-Agent"":""Mozilla/5.0""}","{""comment"":""<iframe src='evil.com'></iframe>""}"
2024-01-15 10:30:23,192.168.1.108,GET,/api/config,"{""User-Agent"":""Mozilla/5.0"",""Authorization"":""Bearer admin""}",
2024-01-15 10:30:24,192.168.1.109,POST,/api/query,"{""Content-Type"":""application/json"",""User-Agent"":""Mozilla/5.0""}","{""sql"":""SELECT * FROM users WHERE 1=1""}"
2024-01-15 10:30:25,192.168.1.110,GET,/api/files/../etc/passwd,"{""User-Agent"":""Mozilla/5.0"",""Accept"":""application/json""}",
2024-01-15 10:30:26,192.168.1.111,POST,/api/eval,"{""Content-Type"":""application/json"",""User-Agent"":""Mozilla/5.0""}","{""code"":""eval('malicious_code')""}"
2024-01-15 10:30:27,192.168.1.112,GET,/api/backup,"{""User-Agent"":""Mozilla/5.0"",""Authorization"":""Bearer backup""}",
2024-01-15 10:30:28,192.168.1.113,POST,/api/exec,"{""Content-Type"":""application/json"",""User-Agent"":""Mozilla/5.0""}","{""command"":""rm -rf /""}"
2024-01-15 10:30:29,192.168.1.114,GET,/api/test,"{""User-Agent"":""Mozilla/5.0"",""Accept"":""application/json""}",
2024-01-15 10:30:30,192.168.1.115,POST,/api/insert,"{""Content-Type"":""application/json"",""User-Agent"":""Mozilla/5.0""}","{""data"":""INSERT INTO users VALUES ('hacker','password')""}"
2024-01-15 10:30:31,192.168.1.116,GET,/api/phpinfo,"{""User-Agent"":""Mozilla/5.0"",""Accept"":""application/json""}",
2024-01-15 10:30:32,192.168.1.117,POST,/api/update,"{""Content-Type"":""application/json"",""User-Agent"":""Mozilla/5.0""}","{""query"":""UPDATE users SET password='hacked'""}"
2024-01-15 10:30:33,192.168.1.118,GET,/api/info,"{""User-Agent"":""Mozilla/5.0"",""Authorization"":""Bearer info""}",
2024-01-15 10:30:34,192.168.1.119,POST,/api/delete,"{""Content-Type"":""application/json"",""User-Agent"":""Mozilla/5.0""}","{""sql"":""DELETE FROM logs""}"
2024-01-15 10:30:35,192.168.1.120,GET,/api/debug,"{""User-Agent"":""Mozilla/5.0"",""Accept"":""application/json""}",
2024-01-15 10:30:36,192.168.1.121,POST,/api/create,"{""Content-Type"":""application/json"",""User-Agent"":""Mozilla/5.0""}","{""table"":""CREATE TABLE malicious (id INT)""}"
2024-01-15 10:30:37,192.168.1.122,GET,/api/error,"{""User-Agent"":""Mozilla/5.0"",""Accept"":""application/json""}",
2024-01-15 10:30:38,192.168.1.123,POST,/api/alter,"{""Content-Type"":""application/json"",""User-Agent"":""Mozilla/5.0""}","{""sql"":""ALTER TABLE users ADD COLUMN hacked BOOLEAN""}"
2024-01-15 10:30:39,192.168.1.124,GET,/api/log,"{""User-Agent"":""Mozilla/5.0"",""Authorization"":""Bearer log""}",
2024-01-15 10:30:40,192.168.1.125,POST,/api/grant,"{""Content-Type"":""application/json"",""User-Agent"":""Mozilla/5.0""}","{""permission"":""GRANT ALL PRIVILEGES ON *.* TO 'hacker'@'%'""}"
2024-01-15 10:30:41,192.168.1.126,GET,/api/temp,"{""User-Agent"":""Mozilla/5.0"",""Accept"":""application/json""}",
